Aeroport,Code_aeroport,Ville,Pays
Såtenäs Air Base,\N,Satenas,Sweden
Barkarby Airport,\N,Stockholm,Sweden
Karlskoga Airport,KSK,Karlskoga,Sweden
Mora Airport,MXX,Mora,Sweden
Stockholm Skavsta Airport,NYO,Stockholm,Sweden
Arvika Airport,\N,Arvika,Sweden
Emmaboda Airfield,\N,Emmaboda,Sweden
Feringe Airport,\N,Ljungby,Sweden
Kristianstad Airport,KID,Kristianstad,Sweden
Landskrona Airport,\N,Landskrona,Sweden
Oskarshamn Airport,OSK,Oskarshamn,Sweden
Anderstorp Airport,\N,Anderstorp,Sweden
Kalmar Airport,KLR,Kalkmar,Sweden
Malmö Sturup Airport,MMX,Malmoe,Sweden
Halmstad Airport,HAD,Halmstad,Sweden
Hagshult Air Base,\N,Hagshult,Sweden
Växjö Kronoberg Airport,VXO,Vaxjo,Sweden
Hallviken Airport,\N,Hallviken,Sweden
Hedlanda Airport,\N,Hede,Sweden
Sveg Airport,EVG,Sveg,Sweden
Gällivare Airport,GEV,Gallivare,Sweden
Hudiksvall Airport,HUV,Hudiksvall,Sweden
Jokkmokk Airport,\N,Jokkmokk,Sweden
Kramfors Sollefteå Airport,KRF,Kramfors,Sweden
Lycksele Airport,LYC,Lycksele,Sweden
Optand Airport,\N,Optand,Sweden
Sundsvall-Härnösand Airport,SDL,Sundsvall,Sweden
Örnsköldsvik Airport,OER,Ornskoldsvik,Sweden
Piteå Airport,\N,Pitea,Sweden
Kiruna Airport,KRN,Kiruna,Sweden
Orsa Airport,\N,Orsa,Sweden
Skellefteå Airport,SFT,Skelleftea,Sweden
Sättna Airport,\N,Sattna,Sweden
Umeå Airport,UME,Umea,Sweden
Vilhelmina Airport,VHM,Vilhelmina,Sweden
Arvidsjaur Airport,AJR,Arvidsjaur,Sweden
Örebro Airport,ORB,Orebro,Sweden
Stockholm Västerås Airport,VST,Vasteras,Sweden
Luleå Airport,LLA,Lulea,Sweden
Vidsel Air Base,\N,Vidsel,Sweden
Arboga Airport,\N,Arboga,Sweden
Stockholm-Arlanda Airport,ARN,Stockholm,Sweden
Stockholm-Bromma Airport,BMA,Stockholm,Sweden
Borlange Airport,BLE,Borlange,Sweden
Hultsfred Airport,HLF,Hultsfred,Sweden
Gävle Sandviken Airport,GVX,Gavle,Sweden
Linköping City Airport,LPI,Linkoeping,Sweden
Norrköping Airport,NRK,Norrkoeping,Sweden
Eskilstuna Airport,EKT,Eskilstuna,Sweden
Visby Airport,VBY,Visby,Sweden
Kalixfors Airport,\N,Kalixfors,Sweden
Spangdahlem Air Base,SPM,Spangdahlem,Germany
Ramstein Air Base,RMS,Ramstein,Germany
[Duplicate] Giebelstadt Army Air Field,GHF,Giebelstadt,Germany
Bückeburg Air Base,\N,Brueckeburg,Germany
Celle Airport,ZCN,Celle,Germany
Rheine Bentlage Air Base,\N,Rheine-brentlange,Germany
Fritzlar Airport,FRZ,Fritzlar,Germany
Laupheim Air Base,\N,Laupheim,Germany
Mendig Airfield,\N,Mendig,Germany
Niederstetten Army Air Base,\N,Niederstetten,Germany
Roth Airport,\N,Roth,Germany
Fassberg Air Base,\N,Fassberg,Germany
Grafenwohr Army Air Field,\N,Grafenwoehr,Germany
Hanau Army Air Field,ZNF,Hanau,Germany
Hohenfels Army Air Field,\N,Hohenfels,Germany
Flugplatz Kitzingen,KZG,Kitzingen,Germany
Nordholz Naval Airbase,FCN,Nordholz,Germany
Diepholz Air Base,\N,Diepholz,Germany
Geilenkirchen Air Base,GKE,Geilenkirchen,Germany
Hohn Air Base,\N,Hohn,Germany
Jever Air Base,\N,Jever,Germany
Rostock-Laage Airport,RLG,Laage,Germany
Nörvenich Air Base,\N,Noervenich,Germany
Schleswig Air Base,WBG,Schleswig,Germany
Wittmundhafen Airport,\N,Wittmundhafen,Germany
Wunstorf Air Base,\N,Wunstorf,Germany
Vilseck Army Air Field,\N,Vilseck,Germany
Coleman Army Air Field,\N,Coleman,Germany
Wiesbaden Army Airfield,WIE,Wiesbaden,Germany
Landsberg Lech Air Base,\N,Landsberg,Germany
Büchel Air Base,\N,Buechel,Germany
Erding Airport,\N,Erding,Germany
Fürstenfeldbruck Air Base,FEL,Fuerstenfeldbruck,Germany
Holzdorf Air Base,\N,Holzdorf,Germany
Ingolstadt Manching Airport,IGS,Ingolstadt,Germany
Lechfeld Air Base,\N,Lechfeld,Germany
Neuburg AFB,\N,Neuburg,Germany
Gütersloh Air Base,GUT,Guetersloh,Germany
Alexander Bay Airport,ALJ,Alexander Bay,South Africa
Aggeneys Airport,AGZ,Aggeneys,South Africa
Brakpan Airport,\N,Brakpan,South Africa
Bisho Airport,BIY,Bisho,South Africa
Bram Fischer International Airport,BFN,Bloemfontein,South Africa
Bethlehem Airport,\N,Bethlehem,South Africa
Hendrik Potgieter Airport,\N,Bothaville,South Africa
Cape Town International Airport,CPT,Cape Town,South Africa
Calvinia Airport,\N,Calvinia,South Africa
King Shaka International Airport,DUR,Durban,South Africa
Ben Schoeman Airport,ELS,East London,South Africa
Ermelo Airport,\N,Ermelo,South Africa
Ficksburg Sentraoes Airport,FCB,Ficksburg,South Africa
Grand Central Airport,GCJ,Johannesburg,South Africa
George Airport,GRJ,George,South Africa
Graaff Reinet Airport,\N,Graaff Reinet,South Africa
Grahamstown Airport,\N,Grahamstown,South Africa
Greytown Airport,\N,Greytown,South Africa
Harmony Airport,\N,Harmony,South Africa
Harrismith Airport,HRS,Harrismith,South Africa
Hoedspruit Air Force Base Airport,HDS,Hoedspruit,South Africa
Gariep Dam Airport,\N,Hendrik Verwoerddam,South Africa
OR Tambo International Airport,JNB,Johannesburg,South Africa
P C Pelser Airport,KXE,Klerksdorp,South Africa
Kimberley Airport,KIM,Kimberley,South Africa
Krugersdorp Airport,\N,Krugersdorp,South Africa
Kroonstad Airport,\N,Kroonstad,South Africa
Johan Pienaar Airport,KMH,Kuruman,South Africa
Kleinsee Airport,KLZ,Kleinsee,South Africa
Lanseria Airport,HLA,Johannesburg,South Africa
Lichtenburg Airport,\N,Lichtenburg,South Africa
Makhado Air Force Base Airport,\N,Lambertsbaai,South Africa
Langebaanweg Airport,SDB,Langebaanweg,South Africa
Ladysmith Airport,LAY,Ladysmith,South Africa
Middelburg Airport,\N,Middelburg,South Africa
Margate Airport,MGH,Margate,South Africa
Marble Hall Airport,\N,Marble Hall,South Africa
Majuba Power Station Airport,\N,Majuba Power Station,South Africa
Riverside Airport,LLE,Malalane,South Africa
Morningside Farm Airport,\N,Musina,South Africa
Mkuze Airport,MZQ,Mkuze,South Africa
Newcastle Airport,NCS,Newcastle,South Africa
Nylstroom Airfield,\N,Nylstroom,South Africa
Overberg Airport,OVG,Overberg,South Africa
Oudtshoorn Airport,OUH,Oudtshoorn,South Africa
Port Elizabeth Airport,PLZ,Port Elizabeth,South Africa
Plettenberg Bay Airport,PBZ,Plettenberg Bay,South Africa
Hendrik Van Eck Airport,PHW,Phalaborwa,South Africa
Pietersburg Municipal Airport,\N,Polokwane,South Africa
Port St Johns Airport,JOH,Port Saint Johns,South Africa
Pietermaritzburg Airport,PZB,Pietermaritzburg,South Africa
Pilanesberg International Airport,NTY,Pilanesberg,South Africa
Polokwane International Airport,PTG,Potgietersrus,South Africa
Potchefstroom Airport,PCF,Potchefstroom,South Africa
Parys Airport,\N,Parys,South Africa
Queenstown Airport,UTW,Queenstown,South Africa
Richards Bay Airport,RCB,Richard's Bay,South Africa
Rustenburg Airport,\N,Rustenburg,South Africa
Robertson Airport,ROD,Robertson,South Africa
Springbok Airport,SBU,Springbok,South Africa
Secunda Airport,ZEC,Secunda,South Africa
Saldanha /Vredenburg Airport,\N,Saldanha,South Africa
Springs Airfield,\N,Springs,South Africa
Swartkop Air Force Base,\N,Swartkop,South Africa
Sishen Airport,SIS,Sishen,South Africa
Hendrik Swellengrebel Airport,\N,Swellendam,South Africa
Skukuza Airport,SZK,Skukuza,South Africa
Tommys Field Airport,\N,Tommy's Field,South Africa
New Tempe Airport,\N,Bloemfontein,South Africa
Tutuka Power Station Airport,\N,Tutuka,South Africa
Tzaneen Airport,LTA,Tzaneen,South Africa
Prince Mangosuthu Buthelezi Airport,ULD,Ulundi,South Africa
Pierre Van Ryneveld Airport,UTN,Upington,South Africa
K. D. Matanzima Airport,UTT,Umtata,South Africa
Vryburg Airport,VRU,Vryburg,South Africa
Virginia Airport,VIR,Durban,South Africa
Vredendal Airport,VRE,Vredendal,South Africa
Vereeniging Airport,\N,Vereeniging,South Africa
Wonderboom Airport,PRY,Pretoria,South Africa
Witbank Airport,\N,Witbank,South Africa
Waterkloof Air Force Base,WKF,Waterkloof,South Africa
Welkom Airport,\N,Welkom,South Africa
Ysterplaat Air Force Base,\N,Ysterplaat,South Africa
Zeerust Airport,\N,Zeerust,South Africa
Francistown Airport,FRW,Francistown,Botswana
Jwaneng Airport,JWA,Jwaneng,Botswana
Kasane Airport,BBK,Kasane,Botswana
Maun Airport,MUB,Maun,Botswana
Sir Seretse Khama International Airport,GBE,Gaberone,Botswana
Selebi Phikwe Airport,PKW,Selebi-phikwe,Botswana
Maya-Maya Airport,BZV,Brazzaville,Congo (Brazzaville
Owando Airport,FTX,Owando,Congo (Kinshasa
Ouesso Airport,OUE,Ouesso,Congo (Kinshasa
Pointe Noire Airport,PNR,Pointe-noire,Congo (Brazzaville
Matsapha Airport,MTS,Manzini,Swaziland
Bangui M'Poko International Airport,BGF,Bangui,Central African Republic
Berbérati Airport,BBT,Berberati,Central African Republic
Bata Airport,BSG,Bata,Equatorial Guinea
Malabo Airport,SSG,Malabo,Equatorial Guinea
RAF Ascension Island,ASI,Wide Awake,Saint Helena
Sir Seewoosagur Ramgoolam International Airport,MRU,Plaisance,Mauritius
Sir Charles Gaetan Duval Airport,RRG,Rodriguez Island,Mauritius
Diego Garcia Naval Support Facility,NKW,Diego Garcia Island,British Indian Ocean Territory
Tiko Airport,TKC,Tiko,Cameroon
Douala International Airport,DLA,Douala,Cameroon
Salak Airport,MVR,Maroua,Cameroon
Foumban Nkounja Airport,FOM,Foumban,Cameroon
N'Gaoundéré Airport,NGE,N'gaoundere,Cameroon
Garoua International Airport,GOU,Garoua,Cameroon
Bafoussam Airport,BFX,Bafoussam,Cameroon
Bamenda Airport,BPC,Bamenda,Cameroon
Yaoundé Airport,YAO,Yaounde,Cameroon
Kasompe Airport,CGJ,Kasompe,Zambia
Livingstone Airport,LVI,Livingstone,Zambia
Kenneth Kaunda International Airport Lusaka,LUN,Lusaka,Zambia
Mfuwe Airport,MFU,Mfuwe,Zambia
Mongu Airport,MNR,Mongu,Zambia
Simon Mwansa Kapwepwe International Airport,NLA,Ndola,Zambia
Southdowns Airport,KIW,Southdowns,Zambia
Prince Said Ibrahim International Airport,HAH,Moroni,Comoros
Mohéli Bandar Es Eslam Airport,NWA,Moheli,Comoros
Ouani Airport,AJN,Anjouan,Comoros
Dzaoudzi Pamandzi International Airport,DZA,Dzaoudzi,Mayotte
Roland Garros Airport,RUN,St.-denis,Reunion
Pierrefonds Airport,ZSE,St.-pierre,Reunion
Ivato Airport,TNR,Antananarivo,Madagascar
Miandrivazo Airport,ZVA,Miandrivazo,Madagascar
Sainte Marie Airport,SMS,Sainte Marie,Madagascar
Toamasina Airport,TMM,Toamasina,Madagascar
Morondava Airport,MOQ,Morondava,Madagascar
Arrachart Airport,DIE,Antsiranana,Madagascar
Mananara Nord Airport,WMR,Mananara,Madagascar
Andapa Airport,ZWA,Andapa,Madagascar
Ambilobe Airport,AMB,Ambilobe,Madagascar
Antsirabato Airport,ANM,Antalaha,Madagascar
Analalava Airport,HVA,Analalava,Madagascar
Amborovy Airport,MJN,Mahajanga,Madagascar
Fascene Airport,NOS,Nosy-be,Madagascar
Besalampy Airport,BPY,Besalampy,Madagascar
Maroantsetra Airport,WMN,Maroantsetra,Madagascar
Sambava Airport,SVB,Sambava,Madagascar
Vohimarina Airport,VOH,Vohemar,Madagascar
Ambalabe Airport,WAI,Antsohihy,Madagascar
Ampampamena Airport,IVA,Ampampamena,Madagascar
Tôlanaro Airport,FTU,Tolagnaro,Madagascar
Fianarantsoa Airport,WFI,Fianarantsoa,Madagascar
Farafangana Airport,RVA,Farafangana,Madagascar
Manakara Airport,WVK,Manakara,Madagascar
Mananjary Airport,MNJ,Mananjary,Madagascar
Morombe Airport,MXM,Morombe,Madagascar
Toliara Airport,TLE,Toliara,Madagascar
Mbanza Congo Airport,SSY,M'banza-congo,Angola
Benguela Airport,BUG,Benguela,Angola
Cabinda Airport,CAB,Cabinda,Angola
Nova Lisboa Airport,NOV,Huambo,Angola
Kuito Airport,SVP,Kuito,Angola
Lobito Airport,\N,Lobito,Angola
Quatro de Fevereiro Airport,LAD,Luanda,Angola
Malanje Airport,MEG,Malanje,Angola
Menongue Airport,SPP,Menongue,Angola
Negage Airport,GXG,Negage,Angola
Porto Amboim Airport,PBN,Porto Amboim,Angola
Saurimo Airport,VHC,Saurimo,Angola
Soyo Airport,SZA,Soyo,Angola
Lubango Airport,SDD,Lubango,Angola
Luena Airport,LUO,Luena,Angola
Uige Airport,UGO,Uige,Angola
Xangongo Airport,XGN,Xangongo,Angola
Oyem Airport,OYE,Oyem,Gabon
Okondja Airport,OKN,Okondja,Gabon
Lambarene Airport,LBQ,Lambarene,Gabon
Bitam Airport,BMM,Bitam,Gabon
Port Gentil Airport,POG,Port Gentil,Gabon
Omboue Hopital Airport,OMB,Omboue Hospial,Gabon
Makokou Airport,MKU,Makokou,Gabon
Libreville Leon M'ba International Airport,LBV,Libreville,Gabon
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,Franceville,Gabon
Principe Airport,PCP,Principe,Sao Tome and Principe
São Tomé International Airport,TMS,Sao Tome,Sao Tome and Principe
Beira Airport,BEW,Beira,Mozambique
Inhambane Airport,INH,Inhambane,Mozambique
Lichinga Airport,VXC,Lichinga,Mozambique
Lumbo Airport,LFB,Lumbo,Mozambique
Maputo Airport,MPM,Maputo,Mozambique
Mueda Airport,MUD,Mueda,Mozambique
Mocímboa da Praia Airport,MZB,Mocimboa Da Praia,Mozambique
Marrupa Airport,\N,Marrupa,Mozambique
Nacala Airport,MNC,Nacala,Mozambique
Nampula Airport,APL,Nampula,Mozambique
Pemba Airport,POL,Pemba,Mozambique
Quelimane Airport,UEL,Quelimane,Mozambique
Songo Airport,\N,Songo,Mozambique
Chingozi Airport,TET,Tete,Mozambique
Ulongwe Airport,\N,Ulongwe,Mozambique
Vilankulo Airport,VNX,Vilankulu,Mozambique
Alphonse Airport,\N,Alphonse,Seychelles
Desroches Airport,DES,Desroches,Seychelles
Farquhar Airport,\N,Farquhar,Seychelles
Seychelles International Airport,SEZ,Mahe,Seychelles
Praslin Airport,PRI,Praslin,Seychelles
Coetivy Airport,\N,Coetivy,Seychelles
Abeche Airport,AEH,Abeche,Chad
Moundou Airport,MQQ,Moundou,Chad
N'Djamena International Airport,NDJ,N'djamena,Chad
Faya Largeau Airport,FYT,Faya-largeau,Chad
Joshua Mqabuko Nkomo International Airport,BUQ,Bulawayo,Zimbabwe
Charles Prince Airport,\N,Harare,Zimbabwe
Buffalo Range Airport,BFO,Chiredzi,Zimbabwe
Victoria Falls International Airport,VFA,Victoria Falls,Zimbabwe
Robert Gabriel Mugabe International Airport,HRE,Harare,Zimbabwe
Kariba International Airport,KAB,Kariba,Zimbabwe
Mutoko Airport,\N,Mutoko,Zimbabwe
Mutare Airport,UTA,Mutare,Zimbabwe
Masvingo International Airport,MVZ,Masvingo,Zimbabwe
Zvishavane Airport,\N,Zvishavane,Zimbabwe
Thornhill Air Base,GWE,Gwert,Zimbabwe
Hwange National Park Airport,HWN,Hwange National Park,Zimbabwe
Chileka International Airport,BLZ,Blantyre,Malawi
Karonga Airport,KGJ,Karonga,Malawi
Kasungu Airport,KBQ,Kasungu,Malawi
Lilongwe International Airport,LLW,Lilongwe,Malawi
Mzuzu Airport,ZZU,Mzuzu,Malawi
Moshoeshoe I International Airport,MSU,Maseru,Lesotho
Mejametalana Airbase,\N,Maseru,Lesotho
Ndjili International Airport,FIH,Kinshasa,Congo (Kinshasa
Ndolo Airport,NLO,Kinshasa,Congo (Kinshasa
Muanda Airport,MNB,Muanda,Congo (Kinshasa
Kitona Base Airport,\N,Kitona Base,Congo (Kinshasa
Bandundu Airport,FDU,Bandoundu,Congo (Kinshasa
Kikwit Airport,KKW,Kikwit,Congo (Kinshasa
Mbandaka Airport,MDK,Mbandaka,Congo (Kinshasa
Gbadolite Airport,BDT,Gbadolite,Congo (Kinshasa
Gemena Airport,GMA,Gemena,Congo (Kinshasa
Kotakoli Airport,KLI,Kotakoli,Congo (Kinshasa
Lisala Airport,LIQ,Lisala,Congo (Kinshasa
Bangoka International Airport,FKI,Kisangani,Congo (Kinshasa
Matari Airport,IRP,Isiro,Congo (Kinshasa
Bunia Airport,BUX,Bunia,Congo (Kinshasa
Buta Zega Airport,BZU,Buta Zega,Congo (Kinshasa
Bukavu Kavumu Airport,BKY,Bukavu/kavumu,Congo (Kinshasa
Goma International Airport,GOM,Goma,Congo (Kinshasa
Kindu Airport,KND,Kindu,Congo (Kinshasa
Lubumbashi International Airport,FBM,Lubumashi,Congo (Kinshasa
Kolwezi Airport,KWZ,Kolwezi,Congo (Kinshasa
Kalemie Airport,FMI,Kalemie,Congo (Kinshasa
Kamina Base Airport,KMN,Kamina Base,Congo (Kinshasa
Kananga Airport,KGA,Kananga,Congo (Kinshasa
Mbuji Mayi Airport,MJM,Mbuji-mayi,Congo (Kinshasa
Modibo Keita International Airport,BKO,Bamako,Mali
Gao Airport,GAQ,Gao,Mali
Kayes Dag Dag Airport,KYS,Kayes,Mali
